,Start Date,End Date,MK Signal,Control Limit Signal,Current Mean,Current UCL,Current LCL
101,2022-05-25,2022-07-09,no trend,Waiting,0,0,0
102,2022-05-30,2022-07-14,no trend,Waiting,0,0,0
103,2022-06-04,2022-07-19,no trend,Waiting,0,0,0
104,2022-06-09,2022-07-24,no trend,Waiting,0,0,0
105,2022-06-14,2022-07-29,no trend,Waiting,0,0,0
106,2022-06-19,2022-08-03,no trend,Waiting,0,0,0
107,2022-06-24,2022-08-08,no trend,Waiting,0,0,0
108,2022-06-29,2022-08-13,no trend,Waiting,0,0,0
109,2022-07-04,2022-08-18,decreasing,Waiting,0,0,0
110,2022-07-09,2022-08-23,decreasing,Waiting,0,0,0
111,2022-07-14,2022-08-28,no trend,Waiting,0,0,0
112,2022-07-19,2022-09-02,no trend,Waiting,0,0,0
113,2022-07-24,2022-09-07,no trend,Waiting,0,0,0
114,2022-07-29,2022-09-12,increasing,Waiting,0,0,0
115,2022-08-03,2022-09-17,increasing,Waiting,0,0,0
116,2022-08-08,2022-09-22,increasing,Waiting,0,0,0
117,2022-08-13,2022-09-27,increasing,Waiting,0,0,0
118,2022-08-18,2022-10-03,increasing,Waiting,0,0,0
119,2022-08-23,2022-10-08,increasing,Waiting,0,0,0
120,2022-08-28,2022-10-13,increasing,Waiting,0,0,0
121,2022-09-02,2022-10-18,no trend,Waiting,0,0,0
122,2022-09-07,2022-10-23,no trend,Waiting,0,0,0
123,2022-09-12,2022-10-28,no trend,Waiting,0,0,0
124,2022-09-17,2022-11-02,no trend,Waiting,0,0,0
125,2022-09-22,2022-11-07,no trend,Waiting,0,0,0
126,2022-09-27,2022-11-12,no trend,Waiting,0,0,0
127,2022-10-03,2022-11-17,no trend,Waiting,0,0,0
128,2022-10-08,2022-11-22,no trend,Waiting,0,0,0
129,2022-10-13,2022-11-27,no trend,Waiting,0,0,0
130,2022-10-18,2022-12-02,no trend,Waiting,0,0,0
131,2022-10-23,2022-12-07,no trend,Waiting,0,0,0
132,2022-10-28,2022-12-12,no trend,Waiting,0,0,0
133,2022-11-02,2022-12-17,no trend,Waiting,0,0,0
134,2022-11-07,2022-12-22,no trend,Waiting,0,0,0
135,2022-11-12,2022-12-27,no trend,Waiting,0,0,0
136,2022-11-17,2023-01-01,no trend,Waiting,0,0,0
137,2022-11-22,2023-01-15,increasing,Waiting,0,0,0
138,2022-11-27,2023-01-20,no trend,Waiting,0,0,0
139,2022-12-02,2023-01-25,no trend,Waiting,0,0,0
140,2022-12-07,2023-01-30,no trend,Waiting,0,0,0
141,2022-12-12,2023-02-04,no trend,Waiting,0,0,0
142,2022-12-17,2023-02-09,no trend,Waiting,0,0,0
143,2022-12-22,2023-02-14,no trend,Waiting,0,0,0
144,2022-12-27,2023-02-19,no trend,Waiting,0,0,0
145,2023-01-01,2023-02-24,no trend,Waiting,0,0,0
146,2023-01-15,2023-03-01,no trend,Waiting,0,0,0
147,2023-01-20,2023-03-06,no trend,Waiting,0,0,0
148,2023-01-25,2023-03-11,no trend,Waiting,0,0,0
149,2023-01-30,2023-03-16,decreasing,Waiting,0,0,0
150,2023-02-04,2023-03-21,decreasing,Waiting,0,0,0
151,2023-02-09,2023-03-26,decreasing,Waiting,0,0,0
152,2023-02-14,2023-03-31,decreasing,Waiting,0,0,0
