,Start Date,End Date,MK Signal,Control Limit Signal,Current Mean,Current UCL,Current LCL
0,2021-01-01,2021-01-18,no trend,Waiting,0,0,0
1,2021-01-04,2021-01-19,no trend,Waiting,0,0,0
2,2021-01-05,2021-01-21,no trend,Waiting,0,0,0
3,2021-01-07,2021-01-22,no trend,Waiting,0,0,0
4,2021-01-08,2021-01-25,no trend,Waiting,0,0,0
5,2021-01-11,2021-01-26,no trend,Waiting,0,0,0
6,2021-01-12,2021-01-27,increasing,Waiting,0,0,0
7,2021-01-14,2021-01-28,increasing,Waiting,0,0,0
8,2021-01-15,2021-01-29,increasing,Waiting,0,0,0
9,2021-01-18,2021-01-30,no trend,Waiting,0,0,0
10,2021-01-19,2021-02-01,no trend,Waiting,0,0,0
11,2021-01-21,2021-02-02,no trend,Waiting,0,0,0
12,2021-01-22,2021-02-04,no trend,Waiting,0,0,0
13,2021-01-25,2021-02-05,no trend,Waiting,0,0,0
14,2021-01-26,2021-02-08,no trend,Waiting,0,0,0
15,2021-01-27,2021-02-09,no trend,Waiting,0,0,0
16,2021-01-28,2021-02-11,no trend,Waiting,0,0,0
17,2021-01-29,2021-02-12,no trend,Waiting,0,0,0
18,2021-01-30,2021-02-15,no trend,Waiting,0,0,0
19,2021-02-01,2021-02-16,no trend,Waiting,0,0,0
20,2021-02-02,2021-02-18,no trend,Waiting,0,0,0
21,2021-02-04,2021-02-19,no trend,Waiting,0,0,0
22,2021-02-05,2021-02-22,no trend,Waiting,0,0,0
23,2021-02-08,2021-02-23,decreasing,Waiting,0,0,0
24,2021-02-09,2021-02-25,no trend,Waiting,0,0,0
25,2021-02-11,2021-02-26,no trend,Waiting,0,0,0
26,2021-02-12,2021-03-01,no trend,Waiting,0,0,0
27,2021-02-15,2021-03-02,no trend,Waiting,0,0,0
28,2021-02-16,2021-03-18,no trend,Waiting,0,0,0
29,2021-02-18,2021-03-19,no trend,Waiting,0,0,0
30,2021-02-19,2021-03-22,no trend,Waiting,0,0,0
31,2021-02-22,2021-03-23,no trend,Waiting,0,0,0
32,2021-02-23,2021-03-25,no trend,Waiting,0,0,0
33,2021-02-25,2021-03-26,no trend,Waiting,0,0,0
34,2021-02-26,2021-03-29,no trend,Waiting,0,0,0
35,2021-03-01,2021-03-30,no trend,Waiting,0,0,0
36,2021-03-02,2021-04-02,no trend,Waiting,0,0,0
37,2021-03-18,2021-04-05,no trend,Waiting,0,0,0
38,2021-03-19,2021-04-06,no trend,Waiting,0,0,0
39,2021-03-22,2021-04-08,no trend,Waiting,0,0,0
40,2021-03-23,2021-04-09,no trend,Waiting,0,0,0
41,2021-03-25,2021-04-12,no trend,Waiting,0,0,0
42,2021-03-26,2021-04-13,no trend,Waiting,0,0,0
43,2021-03-29,2021-04-15,no trend,within limits,0.0017734472174250483,0.006127389450882981,-0.0025804950160328837
44,2021-03-30,2021-04-16,no trend,within limits,0.0017734472174250483,0.006127389450882981,-0.0025804950160328837
45,2021-04-02,2021-04-19,no trend,within limits,0.0017734472174250483,0.006127389450882981,-0.0025804950160328837
46,2021-04-05,2021-04-20,no trend,within limits,0.0017734472174250483,0.006127389450882981,-0.0025804950160328837
47,2021-04-06,2021-04-22,no trend,within limits,0.0017734472174250483,0.006127389450882981,-0.0025804950160328837
48,2021-04-08,2021-04-23,no trend,within limits,0.0017734472174250483,0.006127389450882981,-0.0025804950160328837
49,2021-04-09,2021-04-26,no trend,within limits,0.0017734472174250483,0.006127389450882981,-0.0025804950160328837
50,2021-04-12,2021-04-29,no trend,within limits,0.0017734472174250483,0.006127389450882981,-0.0025804950160328837
51,2021-04-13,2021-04-30,no trend,within limits,0.0017734472174250483,0.006127389450882981,-0.0025804950160328837
52,2021-04-15,2021-05-03,no trend,within limits,0.0017734472174250483,0.006127389450882981,-0.0025804950160328837
53,2021-04-16,2021-05-06,no trend,within limits,0.0017734472174250483,0.006127389450882981,-0.0025804950160328837
